DS_SETOR;DS_CIDADE;COD_DESTINACAO_IMOVEL;EDITAL_VENDA;ITEM_EDITAL;VALOR_LAUDO;VALOR_VENDA;AREA_MAX_CONSTR;AREA_BASE;AREA;QTD_OFERTAS;SITUACAO_VISTORIA;AGIO_ABSOLUTO;AGIO_PERCENTUAL
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;03/2020;24;230000;268770.0;399.6;399.6;166.5;2;VAGO;38770.0;16.856521739130432
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;03/2020;25;224000;249000.0;388.8;388.8;162.0;2;VAGO;25000.0;11.160714285714286
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60215;03/2020;26;201000;345000.96;345.648;345.648;144.02;2;VAGO;144000.96000000002;71.64226865671642
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60217;03/2020;27;4189000;4377000.0;5018.22;5018.22;1672.74;1;VAGO;188000.0;4.487944616853665
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;03/2020;30;400000;451100.0;1287.465;1287.465;858.31;9;VAGO;51100.0;12.775
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;03/2020;31;381000;441100.0;1200.0;1200.0;800.0;9;VAGO;60100.0;15.774278215223097
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;03/2020;32;491000;601000.3;1260.705;1260.705;840.47;1;VAGO;110000.30000000005;22.403319755600823
PARANOÁ PARQUE;PARANOA;60221;03/2020;38;946000;1000100.0;3240.013;1800.007;1800.007;1;VAGO;54100.0;5.718816067653277
PARANOÁ PARQUE;PARANOA;60221;03/2020;39;888000;888000.0;3240.009;1800.005;1800.005;1;VAGO;0.0;0.0
PARANOÁ PARQUE;PARANOA;60221;03/2020;40;888000;888000.0;3240.009;1800.005;1800.005;1;VAGO;0.0;0.0
AREA DE DESENVOLVIMENTO ECONOMICO;RECANTO DAS EMAS;60227;03/2020;48;143000;143770.0;451.8;451.8;112.95;1;OCUPADO;770.0;0.5384615384615384
AREA DE DESENVOLVIMENTO ECONOMICO;RECANTO DAS EMAS;60227;03/2020;49;245070;301000.5;451.8;451.8;112.95;3;CONSTRUIDO;55930.5;22.822254865956666
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;03/2020;55;308000;360000.0;940.02;438.676;313.34;1;VAGO;52000.0;16.883116883116884
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;03/2020;56;309000;356000.0;941.97;439.586;313.99;1;VAGO;47000.0;15.210355987055015
